Order ID,AWB Number,Total weight as per X (KG),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
2001810549,1.09112E+12,0.986,1,1.86,1.5,b,d,33,179.8,146.8
2001811306,1.09112E+12,0.945,1,1.1,1.5,b,d,33,135,102
2001816996,1.09112E+12,0.5,1,0.5,1.5,b,d,33,45.4,12.4
2001821679,1.09112E+12,0.165,1,0.2,1.5,b,d,33,45.4,12.4
2001821742,1.09112E+12,0.24,1,0.15,1.5,b,d,33,45.4,12.4
2001821750,1.09112E+12,0.755,1,0.8,1.5,b,d,33,90.2,57.2
2001821995,1.09112E+12,0.477,1,0.5,1.5,b,d,33,45.4,12.4
2001821502,1.09112E+12,0.558,1,0.6,1.5,b,d,33,90.2,57.2
2001822466,1.09112E+12,1.376,1,1.1,1.5,b,d,33,135,102
2001820690,1.09112E+12,0.065,1,0.15,1.5,b,d,33,45.4,12.4
2001806768,1.09112E+12,0.84,1,1.02,1.5,b,d,33,135,102
2001806823,1.09112E+12,0.127,1,0.59,1.5,b,d,33,90.2,57.2
2001806828,1.09112E+12,0.5,1,0.69,1.5,b,d,33,90.2,57.2
2001806968,1.09112E+12,0.5,1,0.68,1.5,b,d,33,90.2,57.2
2001807328,1.09112E+12,0.49,1,2.28,1.5,b,d,33,224.6,191.6
2001807785,1.09112E+12,0.5,1,0.68,1.5,b,d,33,90.2,57.2
2001807852,1.09112E+12,0.5,1,0.74,1.5,b,d,33,90.2,57.2
2001807970,1.09112E+12,0.765,1,4.13,1.5,b,d,33,403.8,370.8
2001807329,1.09112E+12,0.5,1,0.73,1.5,b,d,33,90.2,57.2
2001807613,1.09112E+12,0.83,1,1.04,1.5,b,d,33,135,102
2001808679,1.09112E+12,0.5,1,0.72,1.5,b,d,33,90.2,57.2
2001808739,1.09112E+12,0.22,1,1.63,1.5,b,d,33,179.8,146.8
2001808832,1.09112E+12,0.6,1,2.47,1.5,b,d,33,224.6,191.6
2001808883,1.09112E+12,0.5,1,0.72,1.5,b,d,33,90.2,57.2
2001812195,1.09112E+12,0.5,1,0.67,1.5,b,d,33,90.2,57.2
2001808992,1.09112E+12,0.5,1,0.72,1.5,b,d,33,90.2,57.2
2001809270,1.09112E+12,0.5,1,0.68,1.5,b,d,33,90.2,57.2
2001809934,1.09112E+12,0.361,1,0.82,1.5,b,d,33,90.2,57.2
2001810125,1.09112E+12,0.5,1,0.66,1.5,b,d,33,90.2,57.2
2001810281,1.09112E+12,0.5,1,0.68,1.5,b,d,33,90.2,57.2
2001811058,1.09112E+12,0.5,1,0.72,1.5,b,d,33,90.2,57.2
2001810697,1.09112E+12,0.607,1,2.27,1.5,b,d,33,224.6,191.6
2001811039,1.09112E+12,0.488,1,0.68,1.5,b,d,33,90.2,57.2
2001811305,1.09112E+12,0.75,1,0.5,1.5,b,d,33,45.4,12.4
2001812941,1.09112E+12,0.5,1,0.73,1.5,b,d,33,90.2,57.2
2001809383,1.09112E+12,0.607,1,0.5,1.5,b,d,53.5,86.7,33.2
2001820978,1.09112E+12,0.515,1,0.5,1.5,b,d,33,45.4,12.4
2001806458,1.09112E+12,0.7,1,1,1,b,b,33,61.3,28.3
2001806885,1.09112E+12,0.42,1,1,1,b,b,33,61.3,28.3
2001807058,1.09112E+12,1.168,1,1.15,1,b,b,33,89.6,56.6
2001808118,1.09112E+12,0.343,1,0.5,1,b,b,33,33,0
2001807814,1.09112E+12,0.607,1,0.79,1,b,b,33,61.3,28.3
2001807956,1.09112E+12,1.08,1,1.08,1,b,b,33,89.6,56.6
2001808507,1.09112E+12,0.607,1,0.79,1,b,b,33,61.3,28.3
2001808675,1.09112E+12,1.183,1,1.2,1,b,b,33,89.6,56.6
2001812838,1.09112E+12,0.558,1,0.6,1,b,b,53.5,102.3,48.8
2001817093,1.09112E+12,1.357,1,1.3,1,b,b,53.5,151.1,97.6
2001806210,1.09112E+12,0.22,1,2.92,1,b,b,33,174.5,141.5
2001806233,1.09112E+12,0.245,1,0.78,1,b,b,33,61.3,28.3
2001806547,1.09112E+12,0.127,1,1,1,b,b,33,61.3,28.3
2001806575,1.09112E+12,0.5,1,0.68,1,b,b,33,61.3,28.3
2001806801,1.09112E+12,0.361,1,1.35,1,b,b,33,89.6,56.6
2001806616,1.09112E+12,0.963,1,1.08,1,b,b,33,89.6,56.6
2001806776,1.09112E+12,0.611,1,2.86,1,b,b,33,174.5,141.5
2001807415,1.09112E+12,1.048,1,1,1,b,b,33,61.3,28.3
2001809592,1.09112E+12,1.505,1,1.5,1,b,b,61.3,89.6,28.3
2001811604,1.09112E+12,0.721,2,0.8,1,e,b,56.6,61.3,4.7
2001811475,1.09112E+12,0.689,2,0.5,1,e,b,56.6,33,-23.6
2001819252,1.09112E+12,0.27,2,0.3,1,e,b,56.6,33,-23.6
2001827036,1.09112E+12,1.676,2,1.6,1,e,b,56.6,117.9,61.3
2001808585,1.09112E+12,0.5,2,0.72,1,e,b,56.6,61.3,4.7
2001808295,1.09112E+12,0.245,2,0.2,2,e,e,107.3,107.3,0
2001818390,1.09112E+12,0.841,2,0.8,2,e,e,107.3,213.5,106.2
